raw_timestamp,map,game_round,event_type,event_details
1742105720560,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8286513090133667, 'x': 269, 'y': 315, 'width': 97, 'height': 92, 'box_area': 8924, 'center_x': 317.5, 'center_y': 361.0, 'diff_height': -3.0, 'position_of_object': [269, 315, 97, 92], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720576,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7716391682624817, 'x': 267, 'y': 312, 'width': 101, 'height': 93, 'box_area': 9393, 'center_x': 317.5, 'center_y': 358.5, 'diff_height': 1.0, 'position_of_object': [267, 312, 101, 93], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720593,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7001718282699585, 'x': 279, 'y': 318, 'width': 71, 'height': 86, 'box_area': 6106, 'center_x': 314.5, 'center_y': 361.0, 'diff_height': -7.0, 'position_of_object': [279, 318, 71, 86], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720609,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7556253671646118, 'x': 266, 'y': 318, 'width': 108, 'height': 74, 'box_area': 7992, 'center_x': 320.0, 'center_y': 355.0, 'diff_height': -12.0, 'position_of_object': [266, 318, 108, 74], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720626,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8793511986732483, 'x': 270, 'y': 316, 'width': 99, 'height': 77, 'box_area': 7623, 'center_x': 319.5, 'center_y': 354.5, 'diff_height': 3.0, 'position_of_object': [270, 316, 99, 77], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720642,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8319411873817444, 'x': 266, 'y': 315, 'width': 106, 'height': 77, 'box_area': 8162, 'center_x': 319.0, 'center_y': 353.5, 'diff_height': 0.0, 'position_of_object': [266, 315, 106, 77], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720660,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8150008916854858, 'x': 270, 'y': 313, 'width': 94, 'height': 74, 'box_area': 6956, 'center_x': 317.0, 'center_y': 350.0, 'diff_height': -3.0, 'position_of_object': [270, 313, 94, 74], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720676,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.8515147566795349, 'x': 270, 'y': 312, 'width': 94, 'height': 75, 'box_area': 7050, 'center_x': 317.0, 'center_y': 349.5, 'diff_height': 1.0, 'position_of_object': [270, 312, 94, 75], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720696,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.818167507648468, 'x': 268, 'y': 313, 'width': 95, 'height': 74, 'box_area': 7030, 'center_x': 315.5, 'center_y': 350.0, 'diff_height': -1.0, 'position_of_object': [268, 313, 95, 74], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
1742105720713,,,yolo,"{'player_ip': '172.19.113.65', 'yolo_obj': 'armour', 'confidence': 0.7400125861167908, 'x': 267, 'y': 311, 'width': 97, 'height': 76, 'box_area': 7372, 'center_x': 315.5, 'center_y': 349.0, 'diff_height': 2.0, 'position_of_object': [267, 311, 97, 76], 'detected_entities': ""{'armour': 1, 'ammo': 0, 'health': 0, 'weapon': 0, 'enemy': 0}""}"
