player_ip,timestamp,yolo_obj,confidence,position_of_object
172.19.113.65,1742105842653,enemy,0.98233974,"[209, 267, 80, 45]"
172.19.113.65,1742105842670,enemy,0.99513215,"[65, 155, 134, 170]"
172.19.113.65,1742105842670,enemy,0.95936483,"[64, 160, 131, 155]"
172.19.113.65,1742105842670,enemy,0.8339614,"[214, 264, 60, 48]"
172.19.113.65,1742105842670,enemy,0.95044935,"[208, 263, 79, 46]"
172.19.113.65,1742105842686,enemy,0.98072577,"[101, 162, 121, 153]"
172.19.113.65,1742105842686,enemy,0.7732945,"[93, 170, 134, 148]"
172.19.113.65,1742105842686,enemy,0.9486125,"[220, 261, 67, 43]"
172.19.113.65,1742105842713,enemy,0.99156445,"[191, 176, 98, 207]"
172.19.113.65,1742105842735,enemy,0.99156445,"[191, 176, 98, 207]"
172.19.113.65,1742105842752,enemy,0.99156445,"[191, 176, 98, 207]"
172.19.113.65,1742105842768,enemy,0.9454099,"[234, 175, 80, 202]"
172.19.113.65,1742105842768,enemy,0.97371936,"[229, 158, 90, 220]"
172.19.113.65,1742105842784,enemy,0.9567052,"[261, 174, 78, 184]"
172.19.113.65,1742105842801,enemy,0.89507824,"[317, 179, 83, 146]"
172.19.113.65,1742105842801,enemy,0.64771146,"[291, 243, 39, 41]"
172.19.113.65,1742105842817,enemy,0.68801725,"[381, 179, 100, 151]"
172.19.113.65,1742105842817,enemy,0.621639,"[335, 252, 54, 41]"
172.19.113.65,1742105842836,enemy,0.8813695,"[437, 191, 94, 165]"
172.19.113.65,1742105842836,enemy,0.66941464,"[366, 261, 65, 40]"
172.19.113.65,1742105842836,enemy,0.6115767,"[367, 262, 61, 39]"
172.19.113.65,1742105842853,enemy,0.8595295,"[511, 209, 101, 159]"
172.19.113.65,1742105842853,enemy,0.5704364,"[519, 214, 84, 166]"
172.19.113.65,1742105842853,enemy,0.70624655,"[421, 277, 64, 41]"
172.19.113.65,1742105842870,enemy,0.6706558,"[569, 212, 68, 204]"
172.19.113.65,1742105842870,enemy,0.6613661,"[572, 200, 57, 223]"
172.19.113.65,1742105842870,enemy,0.86424476,"[457, 289, 72, 42]"
172.19.113.65,1742105842870,enemy,0.52299964,"[584, 192, 55, 260]"
172.19.113.65,1742105842887,enemy,0.8801493,"[490, 296, 75, 44]"
172.19.113.65,1742105842903,enemy,0.9620951,"[506, 307, 81, 41]"
172.19.113.65,1742105842919,enemy,0.8970702,"[526, 314, 87, 44]"
172.19.113.65,1742105842936,enemy,0.9330139,"[511, 311, 78, 38]"
172.19.113.65,1742105842953,enemy,0.88769853,"[511, 309, 73, 39]"
172.19.113.65,1742105842970,enemy,0.88766414,"[503, 309, 84, 36]"
172.19.113.65,1742105842986,enemy,0.617179,"[497, 299, 68, 41]"
172.19.113.65,1742105843003,enemy,0.5852344,"[587, 235, 48, 144]"
172.19.113.65,1742105843019,enemy,0.96650124,"[559, 239, 77, 141]"
172.19.113.65,1742105843019,enemy,0.60602164,"[467, 287, 63, 37]"
172.19.113.65,1742105843036,enemy,0.8511176,"[558, 238, 70, 134]"
172.19.113.65,1742105843036,enemy,0.6631865,"[466, 287, 62, 36]"
172.19.113.65,1742105843052,enemy,0.9578616,"[479, 226, 45, 119]"
172.19.113.65,1742105843069,enemy,0.952112,"[434, 224, 36, 101]"
172.19.113.65,1742105843069,enemy,0.80923325,"[369, 269, 58, 32]"
172.19.113.65,1742105843086,enemy,0.51847196,"[355, 261, 44, 29]"
172.19.113.65,1742105843086,enemy,0.95059794,"[405, 214, 33, 96]"
172.19.113.65,1742105843103,enemy,0.9750924,"[368, 207, 30, 90]"
172.19.113.65,1742105843120,enemy,0.97832274,"[336, 195, 28, 79]"
172.19.113.65,1742105843137,enemy,0.96241647,"[290, 175, 30, 90]"
172.19.113.65,1742105843157,enemy,0.98566145,"[267, 168, 29, 86]"
172.19.113.65,1742105843175,enemy,0.96369904,"[245, 157, 30, 87]"
172.19.113.65,1742105843208,enemy,0.929631,"[213, 142, 31, 82]"
172.19.113.65,1742105843208,enemy,0.6103262,"[213, 146, 28, 77]"
172.19.113.65,1742105843225,enemy,0.96227396,"[201, 145, 30, 72]"
172.19.113.65,1742105843241,enemy,0.98067105,"[187, 143, 35, 75]"
172.19.113.65,1742105843261,enemy,0.96393883,"[182, 145, 35, 74]"
172.19.113.65,1742105843278,enemy,0.9299709,"[161, 146, 36, 68]"
172.19.113.65,1742105843295,enemy,0.9299709,"[161, 146, 36, 68]"
172.19.113.65,1742105843312,enemy,0.5459998,"[153, 148, 34, 63]"
